id,PGA,PGV,PGD,NOMBRE_SIS,NOMBRE_SENSOR,N_SIS,DIRECCION,PATH_DIR_ORG,PATH_DIR_PROCES1,DT,N_POINTS_PROCES1,CORTE1,CORTE2,PATH_DIR_PROCES2,DT_PROCES2,N_POINTS_PROCES2
566,-25.96838,-2.25095,-0.40519,Northridge,LA00067P,284,S00E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00067P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/284_S00E.T1,0.02,1806,27,1694,Registros_Sismicos_Proces2/Northridge/284_S00E.T1,0.02,1667
567,-78.49345,-3.695980000000002,0.37924,Northridge,LA00067P,284,N90E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00067P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/284_N90E.T1,0.02,1806,27,1694,Registros_Sismicos_Proces2/Northridge/284_N90E.T1,0.02,1667
568,-71.1029,-4.7641300000000015,-1.08151,Northridge,LA00068P,285,N74E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00068P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/285_N74E.T1,0.02,2390,63,2241,Registros_Sismicos_Proces2/Northridge/285_N74E.T1,0.02,2178
569,-64.16145,-6.8135600000000025,1.51413,Northridge,LA00068P,285,N16W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00068P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/285_N16W.T1,0.02,2389,63,2241,Registros_Sismicos_Proces2/Northridge/285_N16W.T1,0.02,2178
570,-131.5663,-6.383719999999999,1.28717,Northridge,LA00069P,286,S90W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00069P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/286_S90W.T1,0.02,1747,85,1595,Registros_Sismicos_Proces2/Northridge/286_S90W.T1,0.02,1510
571,-91.98213,-4.04234,-0.6119399999999999,Northridge,LA00069P,286,S00W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00069P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/286_S00W.T1,0.02,1749,85,1595,Registros_Sismicos_Proces2/Northridge/286_S00W.T1,0.02,1510
572,-100.4717,-4.74303,0.79998,Northridge,LA00070P,287,N00W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00070P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/287_N00W.T1,0.02,2226,78,1990,Registros_Sismicos_Proces2/Northridge/287_N00W.T1,0.02,1912
573,-80.04433,7.57643,1.99307,Northridge,LA00070P,287,N90W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00070P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/287_N90W.T1,0.02,2226,78,1990,Registros_Sismicos_Proces2/Northridge/287_N90W.T1,0.02,1912
574,63.76884,-5.04741,-0.88756,Northridge,LA00071P,288,N45W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00071P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/288_N45W.T1,0.02,1828,72,1800,Registros_Sismicos_Proces2/Northridge/288_N45W.T1,0.02,1728
575,61.51196,7.38842,1.12241,Northridge,LA00071P,288,S45W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00071P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/288_S45W.T1,0.02,1828,72,1800,Registros_Sismicos_Proces2/Northridge/288_S45W.T1,0.02,1728
