id,#N_Pisos,N_VanosX,N_VanosY,H_Pisos,L_VanoX,L_VanoY,H_VigaX,B_VigaX,H_VigaY,B_VigaY,H_Colum,B_Colum,T
95,3.0,5.0,5.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.6,0.6,0.37141839810800986
96,3.0,5.0,6.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.6,0.6,0.37586884033651846
97,3.0,5.0,8.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.36031374847698
98,3.0,5.0,10.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.3637324113885728
99,3.0,6.0,6.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.6,0.6,0.3759787950066731
100,3.0,6.0,8.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.36059384271584904
101,3.0,6.0,10.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.36402140477373207
102,3.0,8.0,8.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.3609678201841052
103,3.0,8.0,10.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.36440695966467174
104,3.0,10.0,10.0,2.5,3.0,7.0,0.3,0.25,0.7,0.35,0.625,0.625,0.3646523459079277
105,3.0,3.0,3.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.35031234256109617
106,3.0,3.0,4.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.35121647340881856
107,3.0,3.0,5.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.3518077198675217
108,3.0,3.0,6.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.3522243926520099
109,3.0,3.0,8.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.35277259257533194
110,3.0,3.0,10.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.35311706403604504
111,3.0,4.0,4.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.3603556510154077
112,3.0,4.0,5.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.36099041572967683
113,3.0,4.0,6.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.3614371075663985
114,3.0,4.0,8.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.36202403804375577
115,3.0,4.0,10.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.36239242600749483
116,3.0,5.0,5.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.366984646800848
117,3.0,5.0,6.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.36745067681832083
118,3.0,5.0,8.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.368062559659004
119,3.0,5.0,10.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.36844635724997343
120,3.0,6.0,6.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.37168654615736907
121,3.0,6.0,8.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.375,0.375,0.37231585737260403
122,3.0,6.0,10.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.425,0.425,0.34537722140408045
123,3.0,8.0,8.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.425,0.425,0.35016867888343045
124,3.0,8.0,10.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.425,0.425,0.3504654393161641
125,3.0,10.0,10.0,2.5,4.0,3.0,0.4,0.25,0.3,0.25,0.425,0.425,0.35366530149057324
126,3.0,3.0,3.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.34628480775028203
127,3.0,3.0,4.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.3552125713961393
128,3.0,3.0,5.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.36104183157263503
129,3.0,3.0,6.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.3651486374769844
130,3.0,3.0,8.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.3705536061060299
131,3.0,3.0,10.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.3739524712513423
132,3.0,4.0,4.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.35758738083802943
133,3.0,4.0,5.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.3634760449435065
134,3.0,4.0,6.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.3676245054243266
135,3.0,4.0,8.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.373084058523243
136,3.0,4.0,10.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.37651711540532073
137,3.0,5.0,5.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.3650150018360157
138,3.0,5.0,6.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.36918963844663644
139,3.0,5.0,8.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.3746834939821729
140,3.0,5.0,10.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.3781380385303192
141,3.0,6.0,6.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.3702696559285757
142,3.0,6.0,8.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.37578708561748975
143,3.0,6.0,10.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.379256397748337
144,3.0,8.0,8.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.377211217934382
145,3.0,8.0,10.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.375,0.375,0.38069951683150105
146,3.0,10.0,10.0,2.5,4.0,4.0,0.4,0.25,0.4,0.25,0.4,0.4,0.35611370412505333
147,3.0,3.0,3.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.4,0.4,0.3601895352412277
148,3.0,3.0,4.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.3497262070383375
149,3.0,3.0,5.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.35561136089414
150,3.0,3.0,6.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.35975612296876686
151,3.0,3.0,8.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.36520933028923663
152,3.0,3.0,10.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.36863756671022974
153,3.0,4.0,4.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.35113354910085964
154,3.0,4.0,5.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.35706327968522505
155,3.0,4.0,6.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.361239230492014
156,3.0,4.0,8.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.3667332247389665
157,3.0,4.0,10.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.37018696350394314
158,3.0,5.0,5.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.35799326933320674
159,3.0,5.0,6.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.36218891178051044
160,3.0,5.0,8.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.36770865956494303
161,3.0,5.0,10.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.3711785020091371
162,3.0,6.0,6.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.3628494474615118
163,3.0,6.0,8.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.36838694478547845
164,3.0,6.0,10.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.3718678865141865
165,3.0,8.0,8.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.369268593583336
166,3.0,8.0,10.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.3727638448638942
167,3.0,10.0,10.0,2.5,4.0,5.0,0.4,0.25,0.5,0.25,0.425,0.425,0.37332077183518947
168,3.0,3.0,3.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.3455066287773167
169,3.0,3.0,4.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.3548753959664754
170,3.0,3.0,5.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.36098622390014073
171,3.0,3.0,6.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.3652885364642941
172,3.0,3.0,8.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.37094736154961483
173,3.0,3.0,10.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.37450392650857883
174,3.0,4.0,4.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.35552592442568276
175,3.0,4.0,5.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.3616670998047654
176,3.0,4.0,6.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.36599058620610814
177,3.0,4.0,8.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.3716770299413159
178,3.0,4.0,10.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.3752508236132292
